uid,text,A,B,C,D,E,F,G,H,media_refs
25A_Q15,"15. Read this sentence from paragraph 7. Always after these confining lessons I was wild with surplus spirits, and found joyous relief in running loose in the open again. Which sentence best describes how this sentence fits into the overall structure of the excerpt? relaxed relationships with friends. of living on the prairie. freedom of having fun outside. at the end of the author’s day.",It introduces a shift from the author’s demanding relationship with her mother to her more,It signals a change from the challenging aspects of life on the reservation to the advantages,It highlights a contrast between the focus and control required while working and the,It concludes the progression of events in the narrative by describing the sequence of events,,,,,25A_Q15_A
25A_Q16,"16. Which sentence best summarizes the process of beading that is described in the excerpt? paint palette; take a double sheet of buckskin and smooth it out on a table; take a sinew and awl and thread the beads onto the buckskin in a desired pattern. with an awl; thread the sinew with beads of many different colors in a simple or complex pattern; twist the sinew to keep it tight after every stitch into the buckskin. and cut it to shape; take a single thread of sinew; pierce the buckskin with an awl; thread the buckskin with the sinew and string it with beads, carefully twisting after every stitch. desired shape; decide on a pattern for the beads and create it using the sinews and the awl; thread the beads onto the sinew in the desired pattern and twist it tight.",,,,,Take a buckskin bag full of beads and spread them out on a mat in different colors like a,Cut the double sheet of buckskin into a shape; take a skein of sinew and pierce the buckskin,Arrange the beads into groups of colors on a mat; smooth out a double sheet of buckskin,"Gather beads, buckskin, sinew, and awl and place them on a mat; cut the buckskin into the",25A_Q16_A
25A_Q17,17. The idea that mastering moccasin design and creation requires experience is best illustrated in the excerpt through into a design.,the information about the advanced technique of incorporating porcupine quills,the descriptions of the special materials that must be used to make decorated moccasins.,the descriptions of the various color combinations that make an attractive moccasin design.,the example of the author successfully and independently using a sharpened rod.,,,,,25A_Q17_A
25A_Q18,18. The table after paragraph 7 expands on a central idea in the excerpt because it shows that and changes. the influence from European traders. recognized in Europe. other peoples.,,,,,the craft the author was learning was a tradition that endured through many generations,the author’s family incorporated traditional materials into their craft as a way of resisting,the uniqueness of the cultural tradition that the author learned as a child was eventually,the author was able to incorporate color into her craftwork as a result of trade with,25A_Q18_A
25A_Q19,19. Which lines from the poem best support the idea that the neighbor’s efforts to call the cat home directly affect the speaker?,"“At first I think she is calling a child, / my neighbor” (lines 1– 2)",“the high- pitched wheedling we send out / to animals who know only sound” (lines 5– 6),“I listen as my neighbor’s voice trails off. / She’s given up calling for now” (lines 20– 21),"“left me to wonder that I too might lift / my voice, sure of someone out there” (lines 25– 26)",,,,,"25A_Q19_A, 25A_Q19_B"
25A_Q20,20. The isolation of the words “— here here—” in line 7 contributes to the meaning of the poem mainly by misunderstood. their first attempts are ignored. people have with their pets.,,,,,demonstrating how people try to communicate in familiar ways but are still sometimes,showing how people can feel desperate to connect with others but give up quickly when,using the unspoken bond between the neighbor and her cat to highlight the understanding,illustrating the use of a simple expression to call home those who are loved and missed.,"25A_Q20_A, 25A_Q20_B"
25A_Q21,21. The details in lines 10– 17 about the cat convey a central idea of the poem by,showing that returning home after experiencing independence is challenging.,suggesting that caring for others means allowing them to grow and to roam freely.,implying that expecting to feel at home in the natural world leads to disappointment.,emphasizing the conflicting desires to return to the familiar and to explore the unknown.,,,,,"25A_Q21_A, 25A_Q21_B"
25A_Q22,22. The phrases “luminous possibility” and “all that would keep her / away from home” (lines 17– 19) affect the poem by,,,,,highlighting the cat’s lack of concern for the neighbor.,implying that the speaker finds the cat’s current situation interesting.,suggesting that the cat is compelled by its sense of wonder to remain outdoors.,indicating that the speaker supports the cat’s decision to ignore the neighbor.,"25A_Q22_A, 25A_Q22_B"
25A_Q23,"23. Read lines 11– 13 from the poem. toward the voice, then back to the constellation of fireflies flickering near her head Which idea from the poem does the imagery in these lines help convey?",The cat lacks a preference for going in or staying out.,The cat is eager to see what will happen next.,The cat wants to understand the unpredictable behavior of the fireflies.,The cat is fascinated by the natural world and finds the indoors unremarkable.,,,,,25A_Q23_A
25A_Q24,24. How does the setting affect the events of the poem?,,,,,It enables the speaker to regularly overhear the neighbor calling for her cat at dusk.,It allows the speaker to observe the neighbor quietly without interacting with her.,It shows how living in close proximity helps the speaker feel connected to the neighbor.,It shows how feeling isolated causes the speaker to imagine interactions with the neighbor.,25A_Q24_A
25A_Q25,25. The poet develops a theme about making connections with others mainly through the,exploration of the desires of the speaker and the neighbor.,speaker’s observations of the sights and sounds in the neighborhood.,speculations the speaker makes about what the neighbor does inside her house.,speaker’s explanation of the cat’s thoughts and actions.,,,,,25A_Q25_A
25A_Q26,"26. What do the newspaper editor’s comments in paragraph 1 reveal about the challenges Ederle faced in attempting her feat? Londoner, who would be more familiar with the English Channel. swimming the English Channel. with her attempt to swim the channel because no woman had ever attempted it before. obstacles in attempting to swim the channel.",,,,,"Regardless of her ability, being an American put Ederle at a serious disadvantage over a","At the time, Ederle still needed more training in order to succeed in the daunting task of","While Ederle could participate in athletic competition, some people were not comfortable","In spite of her previous achievements, Ederle still experienced social as well as physical","25A_Q26_A, 25A_Q26_B"
25A_Q27,"27. Read this sentence from paragraph 4. During her first channel- crossing attempt she had worn a standard one- piece swimsuit that, after the lengthy hours of swimming across the channel, had stretched out, filling with water and creating drag, making an already challenging task almost insurmountable. The word “insurmountable” is used to highlight creative way.",how the bathing suit made it impossible for Ederle to make it across the channel.,how Ederle and her sister decided to improve Ederle’s swimming equipment in a,that the flaws in Ederle’s bathing suit made a difficult task even more complicated.,that the swimming equipment Ederle used needed to be custom made for her attempt.,,,,,"25A_Q27_A, 25A_Q27_B"
25A_Q28,28. Which statement describes how the author’s use of a problem-a nd-s olution structure in paragraph 5 contributes to the development of ideas in the passage? Ederle’s training. required to ensure her safety. that occurred during Ederle’s attempt. channel was both a mental and a physical challenge.,,,,,Detailing the challenges presented by the cold channel waters highlights the effectiveness of,Describing Ederle’s physical difficulties during her swim provides evidence of the team effort,Explaining the difficulties that arose early in the effort helps predict the additional obstacles,Illustrating Ederle’s process of blocking out her discomfort shows that swimming the,"25A_Q28_A, 25A_Q28_B"
25A_Q29,"29. Which sentence best supports the idea that Ederle succeeded in swimming across the channel because of her innovative approach to the challenge? feat, she also broke the men’s record by two hours.” (paragraph 1) eight layers of grease for insulation.” (paragraph 5) steady pace, briskly breaking through waves.” (paragraph 5) forward, transported her coach, family, and friends.” (paragraph 6)","“Yet, at only nineteen years old, Ederle not only became the first woman to accomplish this",“At first she shivered in the bone- chilling water even though she had covered her body in,"“Using a new overhand stroke called the American crawl, Ederle eventually settled into a","“The other [tugboat], displaying a sign that read ‘This way, ole kid!’ with an arrow pointing",,,,,25A_Q29_A
25A_Q30,30. Paragraph 7 contributes to the development of a central idea of the passage by on her goal. complete the swim. personal goal.,,,,,illustrating that Ederle’s physical strength and mental fortitude allowed her to stay focused,conveying that Ederle pushed herself to the edge of her physical capabilities in order to,highlighting the impact the severe weather had on Ederle’s emotions during her swim.,emphasizing the surge of emotions Ederle felt as she came closer to achieving a,25A_Q30_A
25A_Q31,31. Which sentence from the passage best conveys the author’s perspective regarding the impact of Ederle’s accomplishment?,"“Undeterred, Ederle decided to try again.” (paragraph 3)","“For hours Ederle swam, dodging debris with an amused smile.” (paragraph 7)",“Yet Ederle felt indescribably happy as she churned through the sea.” (paragraph 7),“Ederle had swum into history.” (paragraph 8),,,,,25A_Q31_A
25A_Q32,32. Which sentence is the best summary of the steps that Ederle took to prepare for her second attempt to swim across the English Channel? the edges and designed a two- piece silk swimsuit that was lightweight and would not stretch out during the long swim. her “sphere” during her swim. her strokes to the music. cumbersome during her first attempt to cross the channel.,,,,,"Working with her sister, Ederle waterproofed her goggles using melted candle wax to seal",Ederle covered her body in numerous layers of grease for insulation and focused on finding,"Ederle began training with her coach, who played music while she swam to help her time",Ederle focused on developing better equipment than the standard bathing suit that proved,25A_Q32_A
25A_Q33,33. The idea that many people were interested in Ederle’s attempt to swim the channel is illustrated in the passage mainly through the attempting to cross the channel. successful completion of the swim. learning how to swim. motivation and stamina.,information about Ederle’s competition with another female swimmer who was also,details about the reports of Ederle’s progress during the swim and the celebration of her,details about how Ederle’s historic swim contributed to an increase in the number of people,information about the resources Ederle used throughout her swim to maintain her,,,,,25A_Q33_A
25A_Q34,34. The table builds on the information in the passage mainly by improved the speed record. break the current speed record. the English Channel. record times.,,,,,emphasizing that people have continued to swim across the channel and have significantly,suggesting that Ederle inspired many women to swim across the channel to attempt to,revealing that other women competed with Ederle to set a record time for swimming across,providing a comparison between the earliest channel- swimming records and the current,25A_Q34_A
25A_Q35,35. The details in paragraph 1 convey a central idea of the passage by noting that,fewer people are buying e- books than printed books.,printed books have some advantages over e- books.,printed books rely on natural materials more than e- books.,some people recommend buying printed books over e- books.,,,,,25A_Q35_A
25A_Q36,36. Which evidence from the passage best supports the claim that “print definitely isn’t dead” (paragraph 1)?,,,,,Most college students prefer using paper books to using e- books.,Scientists are still studying the effects of reading on a screen.,Paper books are less disruptive to sleep patterns than e- books are.,Reading on a screen can affect both the eyes and the brain.,25A_Q36_A
25A_Q37,"37. Which sentence from the passage suggests that people in the future will likely choose e- books over print books? e- books, suggesting that certain multimedia in children’s e- books can be detrimental to the practice of reading itself.” (paragraph 2) enhance comprehension, and that those might be more helpful than game- type interactive graphics.” (paragraph 2) more engaged with them physically, but in the end they remembered fewer narrative details than those who read print books or basic e- books.” (paragraph 3) that more than 50 percent of children reported preferring screen reading.” (paragraph 5)",“They discovered that the kids sometimes skipped text in favor of interactive features in the,"“However, the researchers noted that some interactive features in e- books are designed to","“Kids who read enhanced e- books— ones with interactive, multimedia experiences— were","“However, a 2012 study from the UK’s National Literacy Trust of kids ages 8 to 16 found",,,,,25A_Q37_A
25A_Q38,38. How does paragraph 7 fit into the overall structure of the passage?,,,,,It indicates where the author changes the purpose of the writing.,It introduces the author’s opinion on the issue.,It signals a shift in the position of the author.,It begins the author’s commentary on the preceding information.,25A_Q38_A
25A_Q39,"39. Which sentence from the passage best reveals the author’s point of view about e-b ooks? differently, here are five ways e- books might be inferior to their dead- tree cousins.” (paragraph 1) textbooks, college students often don’t prefer them.” (paragraph 5) on a Kindle, which is specifically designed for consuming books.” (paragraph 8) e- book device that only presents the text, with no opportunities to click away into digital distractions.” (paragraph 8)",“While scientists are still trying to tease out exactly how digital reading affects us,,"“For instance, reading an e- book on a computer is a much different experience than reading","“So, too, is playing with an interactive e-b ook on an iPad, compared to using a simpler",,,,,25A_Q39_A
25A_Q40,40. The studies described in paragraph 6 are important to the author’s observations in paragraphs 7 and 8 because the findings the studies. on scientific evidence. individual and the device.,,,,,show that the author has personal opinions to share beyond the ideas included in,give the author the opportunity to reach practical conclusions about reading that are based,highlight the author’s statement that digital reading experiences vary based on the,support the author’s inference that more studies on more types of devices are needed.,25A_Q40_A
25A_Q41,41. Which evidence in the passage is most relevant to the author’s claim that “our expectations of e- book reading . . . might affect how we approach the text” (paragraph 9)? print books. physically with the e- books.,Studies found that students used their study time less productively with e- books than with,A study found that e- books enhanced with multimedia engaged children to interact,Adult readers recalled more details from a story read in a print book than in an e- book.,One study found that people who read e- books had poor recall of chronological events.,,,,,25A_Q41_A
25A_Q42,42. What is the best summary of the research into the effects of e- book reading? are distracting. eyes and brain. distracted by non- reading activities.,,,,,"E- books are disliked by college students and preferred by kids, and their interactive features","Some e- books can aid comprehension, but most e- book readers remember few details.","E- books reduce reading comprehension and increase distraction, and they are tiring for the","Enhanced e- books engage children, but they offer them too many opportunities to be",25A_Q42_A
25A_Q43,"43. In paragraph 3, the phrase “the butterflies of the sea” conveys the idea that",nudibranchs do not have to work as hard as other animals to survive in the ocean.,nudibranchs have colorful features that make them stand out.,nudibranchs are delicate and have trouble adapting to their environment.,nudibranchs are rare and difficult to find in the ocean.,,,,,"25A_Q43_A, 25A_Q43_B"
25A_Q44,"44. Read these sentences from paragraph 4. I’m not sure why I decided to take a look. It was still an hour before sunrise, and I knew exactly what the bars looked like in the moonlight, but for some reason, I couldn’t resist. The sentences contribute to the overall structure of the excerpt by the present. unexpected.",,,,,introducing the mysterious creature that the narrator discovers.,indicating a shift from the narrator recalling the past to the narrator reflecting on,establishing a struggle with fear that the narrator must overcome.,building tension through indicating that the narrator is going to see something,25A_Q44_A
25A_Q45,45. The narrator’s actions in paragraph 5 reveal that he is,expecting to see the familiar sight of a stranded minke.,confident about exploring farther into the mudflats.,unconcerned about becoming stuck in the mudflats.,determined to discover the source of the sound.,,,,,25A_Q45_A
25A_Q46,46. How does the setting affect the plot of the excerpt? surroundings. his journey. the narrator.,,,,,The darkness of the mudflats before sunrise causes the narrator to pay close attention to his,The rugged terrain of the mudflats makes it more difficult for the narrator to do his job.,The slow return of the tide along the mudflats forces the narrator to be patient during,The barren appearance of the mudflats creates a sense of mystery that unsettles,25A_Q46_A
25A_Q47,47. Which sentence from paragraph 5 supports the idea that the narrator is taking a risk? stranded again.”,"“It was an exhale, a release of sorts, and I instantly wondered if a whale was",“I looked for a hulking silhouette but couldn’t find one.”,"“I waited, but there were no more sounds.”",“I knew the flats well enough to know I could get stuck just about anywhere.”,,,,,25A_Q47_A
25A_Q48,"48. Read this sentence from paragraph 6. I kept stepping toward the one sound I’d heard, a growing part of me hoping I’d find nothing at all. How do the narrator’s actions develop a central idea of the excerpt? sea life in the mudflats. situation. specimens to study. area is an unlikely place to find them.",,,,,The narrator’s concern about the origin of the noise shows dedication to helping preserve,The narrator’s curiosity about the sea life in the mudflats outweighs any fear about the,The narrator’s knowledge about a variety of sea life encourages a search for more,The narrator’s eagerness about new specimens of sea life outweighs the reality that the,25A_Q48_A
25A_Q49,"49. Read these sentences from paragraph 8. So, I was looking at it and not looking at it while my heart spangled my vision. I saw fragments, pieces, and tried to fuse them in my mind but couldn’t be certain of the whole. The sensory language “spangled my vision,” “I saw fragments, pieces,” and “tried to fuse them in my mind” conveys the narrator’s",extreme excitement about making a great discovery.,reluctant acceptance that he needs to leave the mudflats.,terrified confusion about the creature in the mudflats.,sudden concern about his personal safety.,,,,,25A_Q49_A
25A_Q50,50. The author develops the narrator’s point of view when the narrator sees the creature by,,,,,describing the narrator’s movements as he approaches the creature.,emphasizing the odds of finding the creature in an area inhabited by a rival species.,showing the narrator’s growing realization of the creature’s identity.,comparing the size of the creature to the size of a vehicle.,25A_Q50_A
25A_Q51,"51. Which sentence from the excerpt supports the conclusion that Elton’s “militaristic ‘invasion’ metaphor” (paragraph 1) has influenced scientific understanding of non- native species? eradicate a hypothetical non- native forest plant, even if it were shown to have no effect on the forest.” (paragraph 5) their new environs— to do so would stymie their chances of adapting to the warmer future we’re creating.” (paragraph 8) many other shorebirds— saw clapper rail numbers go tumbling downward.” (paragraph 10) brace yourself, now— introducing them on purpose.” (paragraph 14)",“Among [Olden’s] findings: a substantial number of them said they would immediately,"“Regardless of what we label them, conservationists will be reluctant to remove them from",“A project to rip out and poison the spartina— which grows in dense swaths that exclude,“In some cases we can best serve biodiversity by leaving the non- natives alone or even—,,,,,"25A_Q51_A, 25A_Q51_B, 25A_Q51_C, 25A_Q51_D, 25A_Q51_E, 25A_Q51_F, 25A_Q51_G, 25A_Q51_H, 25A_Q51_I, 25A_Q51_J, 25A_Q51_K, 25A_Q51_L, 25A_Q51_M, 25A_Q51_N, 25A_Q51_O, 25A_Q51_P, 25A_Q51_Q, 25A_Q51_R, 25A_Q51_S, 25A_Q51_T, 25A_Q51_U"
25A_Q52,52. Which detail provides the most relevant support for the claim that “climate change is making it harder even to decide who the invaders are” (paragraph 7)? native species,,,,,the mention in paragraph 8 of non- native species that are forced to seek new habitats,the acknowledgment in paragraph 9 that non- native species include many domestic crops,the description in paragraph 11 of the interactions between native and non- native species,the account in paragraph 13 of an ecologist who changed his beliefs about non-,"25A_Q52_A, 25A_Q52_B, 25A_Q52_C, 25A_Q52_D, 25A_Q52_E, 25A_Q52_F, 25A_Q52_G, 25A_Q52_H, 25A_Q52_I, 25A_Q52_J, 25A_Q52_K, 25A_Q52_L, 25A_Q52_M, 25A_Q52_N, 25A_Q52_O, 25A_Q52_P, 25A_Q52_Q, 25A_Q52_R, 25A_Q52_S, 25A_Q52_T, 25A_Q52_U"
25A_Q53,53. The author’s use of cause and effect in paragraphs 10– 11 mainly emphasizes the idea that harmful impacts. native species. monitored.,some non- native species have helped their environments while others have had,attempts to remove non- native species have seldom produced desired results.,some endangered native species have flourished because of the presence of non-,interactions between endangered native species and non- native species must be carefully,,,,,25A_Q53_A
25A_Q54,54. Which sentence from the excerpt supports the idea that some species are able to adjust to change? flora of each region and as tiny hot spots of diversity.” (paragraph 3) bird— because the native pollinators have been driven extinct by other non- native species.” (paragraph 11) preventing extinctions and preserving biodiversity.” (paragraph 14) seeds moved around by these fruit- loving reptiles have been on the decline.” (paragraph 15),,,,,"“Native gardens have become increasingly popular, both as ways to celebrate the unique",“Many native (and beautiful) Hawaiian flowers are now pollinated by the Japanese white- eye,"“After all, nativeness is just one environmental value, and arguably not as important as","“The islands lost their own large tortoises, and the fruiting plants that formerly had their",25A_Q54_A
25A_Q55,"55. The details in the section “A Good Thing, Not the Only Thing” convey a central idea of the excerpt by suggesting that individual basis. enhance biodiversity. native species.",some non- native species can replace native species that are unable to survive on their own.,decisions about whether to keep non- native species should be considered on an,the scientists who study rapidly changing ecosystems agree that non- native species,a natural habitat that is healthy should be able to support a blend of native and non-,,,,,25A_Q55_A
25A_Q56,56. Climate change has affected efforts to manage invasive species mainly by causing ecologists to,,,,,call upon the public to be more tolerant of the presence of non- native species.,admit that past attempts to eliminate non- native species have damaged the environment.,find ways of ensuring that native species are not harmed by the arrival of new species.,acknowledge that it is not realistic for some species to remain in their native habitats.,25A_Q56_A
25A_Q57,57. How does the chart provide additional support for a central idea of the excerpt? impossible certain period of time an area immediately native species,by implying that the public becomes aware of non- native species only after removal is,by showing that the complete removal of non- native species is usually not achievable after a,by demonstrating why non- native species can be destructive if they are not removed from,by explaining how some conservation groups have approached the removal of non-,,,,,25A_Q57_A
25A_Q58,58. Simplify: _3,,,,,,,,,25A_Q58_A
25A_Q60,60. A juice mixture contains gallon of 16 − 3.8 + 2.3 − ( − 1.1) apple juice and _ 3 gallon of cranberry 40 juice. How many gallons of apple juice per gallon of cranberry juice does the mixture contain? (Express your answer as a decimal.) M170550_150,,,,,,,,,25A_Q60_A
25A_Q59,"59. Angle M and angle R are supplementary. The measure of angle R is 5 times the measure of angle M. What is the measure of angle R, in degrees?",,,,,,,,,25A_Q59_A
25A_Q61,"61. Mr. Chan’s lawn grows 2 inches every 8 2 weeks. He mows his lawn every 2 weeks RESULTS FROM SURVEY OF 110 FAMILIES _3 and cuts off the top 1 inches of lawn. If 4 Number of Children Number in the Family of Families Mr. Chan’s lawn was 4 inches tall at the 0 45 beginning of the season, how many inches 1 32 tall, in decimal form, is Mr. Chan’s lawn 2 19 after 8 weeks? 3 8 4 6 The table above shows the number of children in each of 110 families. What is the median number of children in these families?",,,,,,,,,25A_Q61_A
25A_Q63,"63. Mr. Jones has 550 goats, which is 10% 65. more than Mr. King has. How many more Q R goats does Mr. Jones have than Mr. King? P S M990025_3 □ 2y y _ _ _",50,55,495,500,,,,,"25A_Q63_A, 25A_Q63_B, 25A_Q63_C, 25A_Q63_D, 25A_Q63_E, 25A_Q63_F"
25A_Q64,"64. If − = and x ≠ 0 , what x 2x 2x □ expression is represented by ? In the figure above, PQRS is a square. Point S is the center of the circle, and points P and R are on the circle. If centimeters, what is the area, in square centimeters, of the shaded quarter of the circle? _π A. 4",,π,2π,4π,y,2y the area of the square is 4 square,3y,4y,"25A_Q64_A, 25A_Q64_B, 25A_Q64_C, 25A_Q64_D, 25A_Q64_E, 25A_Q64_F"
25A_Q66,66. A list of consecutive integers begins with _1,,,,,,,,,25A_Q66_A
25A_Q68,"68. Jar 1 and Jar 2 each contain cup of 2 m and ends with n . If n − m = 66 , how _1 water. If of the water in Jar 1 is poured 4 many integers are in the list? into Jar 2, how much water is now in Jar 2? _1 cup 8 _1 4 _5 M060060_1 8",,,,,2,cup,cup,67 E.,25A_Q68_A
25A_Q67,67. Simplify: _3 4 ( _39 (x − 3) ) + 39 ____3_ ___ _ _ ___ 13 M960120_4,x,,,,,,,cup,25A_Q67_A
25A_Q69,"69. If n is a whole number, and 0.01 is _1 _1 between and , what is the n n + 2 value of n ? _36 A. 0 13 B. 1",,x − 2,2,99,,,,,25A_Q69_A
25A_Q70,"70. When asked a certain question in a poll, 72. A program on a computer randomly 72% of the people polled answered yes. If generates a sequence of whole numbers 56 people did not answer yes to that from 1 to 9, inclusive. If the computer question, what is the total number of generates a sequence of 300 numbers, people who were polled? what is the best prediction of the number of odd numbers in the sequence? M060250_1",,,,,78,128 E. 120,144 F. 133,167,25A_Q70_A
25A_Q71,"71. A museum has a room in the shape of a M170545_4 rectangle. The area of the floor is 73. A truck rental company charges a 960 square feet. In a scale drawing of one- time fee of $40 plus $1 per mile the museum, 1 inch = 20 feet. If the driven. Dalia rented a truck and used a length of the room is 2 inches in the scale coupon for 20% off the total rental cost. drawing, what is the width of this room in After the coupon was applied, she spent a the scale drawing? total of $60. How many miles did she drive? _1 5 _1 in. C. 32 4",8,1,24 in.,40 in.,,,,,25A_Q71_A
25A_Q74,"74. The probability of drawing a red candy at _2 random from a bag of 25 candies is . 8.9, 8.2, 8.5, 9.0, 8.4, 8.6, 8.8 5 After 5 red candies are removed from the At a skating championship, there are bag, what is the probability of randomly seven judges who each award a score for each skater’s performance. The highest drawing a red candy from the bag? and lowest scores given to each skater are discarded, and the mean of the remaining _1 scores is then calculated and reported as F. 10 the skater’s final score. What is the final score for the skater who received the _1 G. 5 scores shown above from the judges? _1 E. 8.60 H. 4 M980151_3",,,,,0,8.62,8.64,8.70,25A_Q74_A
25A_Q75,"75. Each number in a sequence is formed by doubling the previous number and then adding 1. If the 9th number in the sequence is 63, what is the 10th number minus the 7th number?",96,111,112,127,,,,,25A_Q75_A
25A_Q77,"77. A piece of wood that is 4 feet long 2 is cut into 2 pieces of different lengths. y The shorter piece has a length of x feet. 20 Which inequality expresses all possible 15 values of x? 10 5 _1 4 O 5 10 15 20 _1 4 What is the area, in square units, of the _1 shaded region shown in the figure above? 2 _1 _1 F. 125 4 2 M080082_1",0 < x < 2 x,0 ≤ x ≤ 2,0 < x < 4,2 < x < 4,75,,150,200,"25A_Q77_A, 25A_Q77_B, 25A_Q77_C, 25A_Q77_D"
25A_Q79,"79. F = _9 5 Yesterday in Centerville, the highest Fahrenheit temperature, F, was 86°, and the lowest was 68°. What was the difference between these temperatures, in degrees Celsius, C?",10.0° C,15.0° C,20.0° C,32.4° C,,,,,"25A_Q79_A, 25A_Q79_B, 25A_Q79_C, 25A_Q79_D"
