uid,filename,page,type,x0,y0,x1,y1,width,height,scope,assigned_to,tag,text
19B_P38_0,19B,38,table,125,118,251,233,126,115,question,19B_Q80,[19B_Q80_A],
19B_P38_1,19B,38,rect,125,559,251,674,126,115,question,19B_Q82,[19B_Q82_A],
19B_P38_2,19B,38,rect,366,633,554,697,188,64,question,19B_Q85,[19B_Q85_A],
19B_P39_0,19B,39,table,86,272,290,353,204,81,question,19B_Q87,[19B_Q87_A],
19B_P39_1,19B,39,rect,397,403,523,428,126,25,question,19B_Q90,[19B_Q90_A],
19B_P39_2,19B,39,graphic,308,422,566,470,258,48,question,19B_Q90,[19B_Q90_B],
19B_P39_3,19B,39,graphic,50,439,308,586,258,147,question,19B_Q88,[19B_Q88_A],
19B_P39_4,19B,39,rect,358,655,562,696,204,41,question,19B_Q91,[19B_Q91_A],
19B_P42_0,19B,42,rect,412,606,507,695,95,89,question,19B_Q110,[19B_Q110_A],
19B_P43_0,19B,43,rect,384,518,536,697,152,179,question,19B_Q114,[19B_Q114_A],
