uid,type,subject,sub_category,difficulty,text,choice_1,choice_2,choice_3,choice_4,answer,media_refs,source,status,extra_data
STA_Q21,mcq,english,Vocabulary_in_Context,,"Read this sentence from paragraph 4.

During her first channel-crossing attempt she had worn a standard one-piece swimsuit that, after the lengthy hours of swimming across the channel, had stretched out, filling with water and creating drag, making an already challenging task almost insurmountable.

The word ""insurmountable"" is used to highlight",how the bathing suit made it impossible for Ederle to make it across the channel.,how Ederle and her sister decided to improve Ederle's swimming equipment in a creative way.,that the flaws in Ederle's bathing suit made a difficult task even more complicated.,that the swimming equipment Ederle used needed to be custom made for her attempt.,C,,STA,pending,
STA_Q22,mcq,english,Reading_Comprehension,,Which statement describes how the author’s use of a problem-and-solution structure in paragraph 5 contributes to the development of ideas in the passage?,Detailing the challenges presented by the cold channel waters highlights the effectiveness of Ederle’s training.,Describing Ederle’s physical difficulties during her swim provides evidence of the team effort required to ensure her safety.,Explaining the difficulties that arose early in the effort helps predict the additional obstacles that occurred during Ederle’s attempt.,Illustrating Ederle’s process of blocking out her discomfort shows that swimming the channel was both a mental and a physical challenge.,D,,STA,pending,
STA_Q23,mcq,english,Reading_Comprehension,,Which sentence best supports the idea that Ederle succeeded in swimming across the channel because of her innovative approach to the challenge?,"""Yet, at only nineteen years old, Ederle not only became the first woman to accomplish this feat, she also broke the men's record by two hours."" (paragraph 1)","""At first she shivered in the bone-chilling water even though she had covered her body in eight layers of grease for insulation."" (paragraph 5)","""Using a new overhand stroke called the American crawl, Ederle eventually settled into a steady pace, briskly breaking through waves."" (paragraph 5)","""The other [tugboat], displaying a sign that read 'This way, ole kid!' with an arrow pointing forward, transported her coach, family, and friends."" (paragraph 6)",C,,STA,pending,
STA_Q24,mcq,english,Reading_Comprehension,,Paragraph 7 contributes to the development of a central idea of the passage by,illustrating that Ederle's physical strength and mental fortitude allowed her to stay focused on her goal.,conveying that Ederle pushed herself to the edge of her physical capabilities in order to complete the swim.,highlighting the impact the severe weather had on Ederle's emotions during her swim.,emphasizing the surge of emotions Ederle felt as she came closer to achieving a personal goal.,D,,STA,pending,
STA_Q25,mcq,english,Reading_Comprehension,,Which sentence from the passage best conveys the author's perspective regarding the impact of Ederle's accomplishment?,"""Undeterred, Ederle decided to try again."" (paragraph 3)","""For hours Ederle swam, dodging debris with an amused smile."" (paragraph 7)","""Yet Ederle felt indescribably happy as she churned through the sea."" (paragraph 7)","""Ederle had swum into history."" (paragraph 8)",D,,STA,pending,
STA_Q26,mcq,english,Reading_Comprehension,,Which sentence is the best summary of the steps that Ederle took to prepare for her second attempt to swim across the English Channel?,"Working with her sister, Ederle waterproofed her goggles using melted candle wax to seal the edges and designed a two-piece silk swimsuit that was lightweight and would not stretch out during the long swim.","Ederle covered her body in numerous layers of grease for insulation and focused on finding her ""sphere"" during her swim.","Ederle began training with her coach, who played music while she swam to help her time her strokes to the music.",Ederle focused on developing better equipment than the standard bathing suit that proved cumbersome during her first attempt to cross the channel.,A,,STA,pending,
STA_Q27,mcq,english,Reading_Comprehension,,The idea that many people were interested in Ederle's attempt to swim the channel is illustrated in the passage mainly through the,information about Ederle's competition with another female swimmer who was also attempting to cross the channel.,details about the reports of Ederle's progress during the swim and the celebration of her successful completion of the swim.,details about how Ederle's historic swim contributed to an increase in the number of people learning how to swim.,information about the resources Ederle used throughout her swim to maintain her motivation and stamina.,B,,STA,pending,
STA_Q28,mcq,english,Reading_Comprehension,,The table builds on the information in the passage mainly by,emphasizing that people have continued to swim across the channel and have significantly improved the speed record.,suggesting that Ederle inspired many women to swim across the channel to attempt to break the current speed record.,revealing that other women competed with Ederle to set a record time for swimming across the English Channel.,providing a comparison between the earliest channel-swimming records and the current record times.,D,,STA,pending,
STA_Q29,mcq,english,Reading_Comprehension,,"Which sentence from the excerpt best explains why Wade reserved Peroxide Jim for ""emergency work"" (paragraph 1)?","""Are there not superior horses as well as superior men—a Peroxide Jim to complement a Wade?"" (paragraph 1)","""Before him, behind him, beside him, pressing hard upon his horse, galloped the frenzied steers, and beyond them a multitude borne on, and bearing him on, by the heave of the galloping herd."" (paragraph 10)","""He knew that he was being borne toward the rim, how fast he could not tell, but he knew by the swish of the brush against his tapaderos and the plunging of the horse that the ground was growing stonier, that they were nearing the rocks."" (paragraph 11)","""From the flash of the lightning the horse had taken the bit, had covered an indescribably perilous path at top speed, had outrun the herd and turned it from the edge of the rim rock, without a false step or a tremor of fear."" (paragraph 16)",A,,STA,pending,
STA_Q30,mcq,english,Reading_Comprehension,,Paragraphs 1–2 contribute to the development of the central idea of the excerpt by,revealing the respect Wade had for his horse.,emphasizing Wade's high expectations of his horse and himself.,indicating that Wade and his horse understood the cattle business.,demonstrating Wade's ability to gauge a horse's competence.,B,,STA,pending,
STA_Q31,mcq,english,Reading_Comprehension,,How does paragraph 3 convey the effect of the setting on the cattle drive?,It shows how the growing darkness created challenges for the riders in getting the herd to move.,It describes how the changing elevation contributed to the dangerousness of the environment.,It describes how the desert created an uncomfortable feeling of isolation for the riders and the cattle.,It shows how the steep terrain made it difficult for the cattle to keep moving forward.,C,,STA,pending,
STA_Q32,mcq,english,Reading_Comprehension,,"Read this sentence from paragraph 13.

Close on their left bore down the flank of the herd, and on their right, under their very feet, was a precipice, so close that they felt its blackness—its three hundred feet of fall!

The phrase ""bore down the flank of the herd"" conveys that Wade",struggled to see the front of the herd.,had to ride quickly to keep up with the herd.,was forced to ride between the edge of the cliff and the herd.,knew that the drop of the cliff would frighten the herd.,C,,STA,pending,
STA_Q33,mcq,english,Reading_Comprehension,,"Read these sentences from the excerpt.

He was riding to turn the herd, too, back from the rim, as the horse also knew. (paragraph 11)

It was Peroxide Jim's, according to Wade, for not by word or by touch of hand or knee had the horse been directed in the run. (paragraph 16)

How do these sentences develop a central idea in the excerpt?",They suggest that Wade would have been unable to save the herd without Peroxide Jim.,They imply that Wade spent many hours training Peroxide Jim to herd cattle.,They show that Peroxide Jim was able to understand a situation and take action.,They indicate that Peroxide Jim was unafraid of the dangers presented by the stampede and the cliff.,C,,STA,pending,
STA_Q34,mcq,english,Reading_Comprehension,,How do the details in paragraphs 14–16 help convey a central idea of the excerpt?,They highlight Peroxide Jim's natural ability to control the herd.,They emphasize the danger of the situation from which Peroxide Jim rescued the herd.,They show that Peroxide Jim's physical strength allowed him to force the herd to turn.,They indicate that Peroxide Jim anticipated the herd's stampede before the men did.,B,,STA,pending,
STA_Q35,mcq,english,Reading_Comprehension,,Which sentence from the excerpt best reveals the mood on the drive before the lightning struck?,"""The herd when overtaken by the dusk had been headed for a pass descending to the next lower bench, but was now halted within a mile of the rim rock on the east, where there was a perpendicular fall of about three hundred feet."" (paragraph 3)","""It was not to soothe their savage breasts that the riders sang to the cattle, but rather to preempt the dreaded silence, to relieve the tension, and so to prevent the shock of any sudden startling noise."" (paragraph 5)","""He checked his horse instantly, listening as the wind swept past him over the cattle."" (paragraph 7)","""Then the breeze caught the dust and carried it back from the gray-coated, ghostly shapes, and Wade saw that the animals were still moving in a circle."" (paragraph 9)",B,,STA,pending,
STA_Q36,mcq,english,Reading_Comprehension,,"Read this sentence from paragraph 1.

As one Scottish traveler observed during his visit to America, ""Niagara and Lowell are the two objects I will longest remember in my American journey, the one the glory of American scenery, the other of American industry.""

The author most likely includes the quotation from the Scottish traveler in order to",suggest that people around the world saw the direct contribution of nature and industry to the United States.,compare the natural and industrial attractions in the United States at that time.,convey the idea that the United States offered both natural and industrial attractions.,imply that the natural resources in the United States contributed to the development of industry.,C,,STA,pending,
STA_Q37,mcq,english,Reading_Comprehension,,"A central idea that Lowell was ""one of America's most significant industrial cities"" (paragraph 1) is conveyed in the passage primarily through a description of the","canals, mills, and boardinghouses that were built by immigrants.",mill girls and immigrants who comprised Lowell's workforce.,development of the mills and the workforce established to support them.,cultural diversity of the people who lived in the area.,C,,STA,pending,
STA_Q38,mcq,english,Reading_Comprehension,,"Which sentence from paragraph 2 best supports the idea that Lowell became ""a bustling industrial city"" (paragraph 1) in a short period of time?","""The Boston merchants who founded Lowell in 1821 and named it after Francis Cabot Lowell chose to locate the town along Massachusetts's Merrimack River to take advantage of the kinetic energy offered by the Pawtucket waterfalls.""","""Over six miles of canals powered the waterwheels of Lowell's mills, whose massive five- and six-story brick buildings dominated the city's landscape.""","""The most recognized of these buildings are the Lowell Manufacturing Company chartered in 1821, the Suffolk or Wannalancit Mill completed around the 1880s, the Boott Mill Company established in 1835, and the Boott Mill Boardinghouse that opened in 1838.""","""By the 1850s, 40 textile mills employing over 10,000 workers stretched for about a mile along the river.""",D,,STA,pending,
STA_Q39,mcq,english,Reading_Comprehension,,"Read this sentence from paragraph 3.

From the early to mid-1800s, women left the constricted lifestyle of small rural towns and rural areas for independent industrial city life.

Which statement best describes how the sentence fits into the overall structure of the passage?",It provides a transition from a description of the mills to a description of the workforce in those mills.,It indicates a shift in tone from positive and hopeful to negative and dissatisfied with working conditions at the mill.,It summarizes a challenge that led many women to leave their hometown and seek work in urban areas.,It begins a comparison of the mill workforce between the mid-1800s and the late 1800s.,C,,STA,pending,
STA_Q40,mcq,english,Reading_Comprehension,,"Read this sentence from paragraph 5.

Although Lowell received an influx of Irish families during this time, the Irish were a part of the city's history from its birth, and before the ""mill girls"" arrived, they built Lowell's historic canals, mills, and boardinghouses.

How does this sentence contribute to the development of ideas in the passage?",It implies that Lowell was founded by early Irish immigrants.,It emphasizes the important role Irish immigrants played in Lowell's history.,It suggests that the new Irish immigrants were readily accepted into the community.,It highlights the working relationship between the mill girls and the new Irish immigrants.,B,,STA,pending,
STA_Q41,mcq,english,Reading_Comprehension,,Which sentence best summarizes the mill girls’ experience as the dominant workforce in Lowell?,"The mill girls were eager to leave their domestic duties and small towns behind, so they went to work in the mills of Lowell.","Originally, the mill girls were satisfied to work in Lowell, but as they left their jobs at the Lowell mills, immigrants arrived to fill the empty positions.","Young women left home to work in the Lowell mills, but the mill girls soon became dissatisfied with the working conditions and rigid boardinghouse rules.","The mill girls embraced city life when they came to work in Lowell’s mills, but when their protests about unfavorable working conditions went unanswered, they left.",C,,STA,pending,
STA_Q42,mcq,english,Reading_Comprehension,,The reason Lowell lost its status as an industrial leader is best illustrated through the,description of poor living and working conditions.,explanation for why some immigrant groups struggled to live together.,comparison with other mills that used modern methods.,information about the mills opening temporarily during World War II.,C,,STA,pending,
STA_Q43,mcq,english,Revising_Editing,,Which sentence should follow sentence 3 to best introduce the topic of the passage?,Placing plants in homes and offices can provide a healthy bridge between nature and the indoors.,"It is important for people to realize that they need to spend more time near plants, whether indoors or out in nature.","For their personal health and well-being, people need to spend more time outdoors or bring the outdoors in.","Individuals with little connection to nature can experience illness, depression, and higher levels of stress.",A,,STA,pending,
STA_Q44,mcq,english,Revising_Editing,,"Which transition word or phrase should be added to the beginning of sentence 5 to emphasize the relationship between sentences 4 and 5? Move the correct answer to the box. (5) ___ spending prolonged periods of time indoors, away from plants, deprives people of these benefits.","As a result,","Primarily,","In contrast,","Unfortunately,",D,,STA,pending,
STA_Q45,mcq,english,Revising_Editing,,Which sentence could best follow sentence 13 to support the ideas in the third paragraph (sentences 11–14)?,"A global study of 7,600 workers from sixteen countries revealed that employees who worked in spaces with natural elements, such as indoor plants, were more creative and productive than employees who worked in spaces without natural elements.","Specifically, a study suggests that one well-known hotel is popular among guests because its owners have made a significant investment in landscaping and indoor plants known to have a relaxing effect.","In fact, one recent study suggested that people who are routinely exposed to natural elements seem to increase their compassion for others, perhaps because that exposure generates compassion for the environment in which they live.","According to a study that was conducted in 2003, plants can reduce the amount of noise that people perceive in indoor spaces with hard surfaces, just as adding carpet can make a room seem quieter.",B,,STA,pending,
STA_Q46,mcq,english,Revising_Editing,,Which sentence presents ideas irrelevant to the topic of the passage and should be deleted?,sentence 11,sentence 14,sentence 15,sentence 16,B,,STA,pending,
STA_Q47,mcq,english,Revising_Editing,,Which concluding sentence should follow sentence 17 to best support the information presented in the passage?,"Because indoor plants absorb the carbon dioxide in our air and release the oxygen we need to breathe, they are vital to our wholeness and wellness.","Experts say that adding a Boston fern, a spider plant, or an aloe vera plant is a good place to start if you want to begin to incorporate nature into your home or office.",More people should consider bringing natural elements inside to improve general wellness and reverse some of the negative effects of an indoor-centered society.,"As one study has confirmed, houseplants are a wise investment because they can remove almost 90 percent of the toxins in the air within the span of 24 hours.",C,,STA,pending,
STA_Q48,mcq,english,Revising_Editing,,"Which sentence of the paragraph should be revised to correct a vague pronoun?

(1) Eliza and Brianna have been singing in their school chorus since they were in fourth grade. (2) The girls always sing a duet at the school talent show, and they take turns singing the national anthem before school sporting events. (3) Outside of school, she also sings in a choir made up of young and old members of her community. (4) Both girls hope that they will be able to continue singing for many more years.",sentence 1,sentence 2,sentence 3,sentence 4,C,,STA,pending,
STA_Q49,mcq,english,Revising_Editing,,"Which revision corrects the error in sentence structure in the paragraph?

The land on Earth has not always been separated into the seven continents, at one time a massive supercontinent, known as Pangaea, covered one-third of Earth's surface. Additionally, the supercontinent was surrounded by ocean waters called Panthalassa, much of which were in Earth's Southern Hemisphere. Geologists believe that the supercontinent split apart over millions of years because of the movement of the tectonic plates that form Earth's crust. In fact, experts predict that over the next 250 million years the movement of the plates will cause the seven continents to merge into a supercontinent again.",continents. At,"surface; additionally,",Panthalassa. Much,"crust, in fact,",A,,STA,pending,
STA_Q50,mcq,english,Revising_Editing,,"Which sentence in the paragraph contains an error in construction?

(1) The blobfish, a creature that certainly resembles its name, is an unusual fish whose body is mostly composed of pink, gelatinous flesh. (2) Because it has very few muscles and its density is close to that of water, the blobfish spends its life floating slightly above the ocean floor. (3) It must wait patiently for whatever edible matter might float by its mouth. (4) The blobfish's downturned mouth, slimy skin, and pale coloring caused them to be voted the World's Ugliest Animal in 2013.

Move the answer to the box. There is only one error in construction.",Sentence 1,Sentence 2,Sentence 3,Sentence 4,D,,STA,pending,
STA_Q51,mcq,math,Ratios_and_Proportions,,"In a scale diagram, 0.125 inch represents 125 feet. How many inches represent 1 foot?",0.001,0.01,0.1,0.12,A,,STA,pending,
STA_Q52,mcq,math,Ratios_and_Proportions,,"A car is traveling 55 miles per hour, and 1 mile = 5,280 feet. Which of the following calculations would give the car's speed in feet per second?","(55·5,280)/1","(55·5,280)/3,600","(55·3,600)/5,280","(55·5,280)/60",B,,STA,pending,
STA_Q53,grid-in,math,Algebra_and_Equations,,"For what value of w is 4w = 2w - 8?

Enter your answer in the space.",,,,,-4,,STA,pending,
STA_Q54,grid-in,math,Stats_and_Data_Analysis,,"A survey asked students what pets they have. Based on the results, the following statements are all true:
• 20 students have cats.
• 23 students have dogs.
• 3 students have both dogs and cats.
• 5 students have no dogs or cats.
How many students were surveyed?
Enter your answer in the space.",,,,,45,,STA,pending,
STA_Q55,mcq,math,Ratios_and_Proportions,,"The sum of the numbers x, y, and z is 50. The ratio of x to y is 1:4, and the ratio of y to z is 4:5. What is the value of y?",4,8,10,20,D,,STA,pending,
STA_Q56,mcq,math,Algebraic_Expressions,,7 + (3n + 6) − (4n + 8) =,5 − n,5 + n,21 − n,21 + n,A,,STA,pending,
STA_Q57,mcq,math,Stats_and_Data_Analysis,,"In a certain school, course grades range from 0 to 100. Adrianna took 4 courses and her mean course grade was 90. Roberto took 5 courses. If both students have the same sum of course grades, what was Roberto's mean?",72,80,90,92,A,,STA,pending,
STA_Q58,multi-select,math,Algebra_and_Equations,,"Liam and Kevin each collect stamps. Liam has twice as many stamps as Kevin. Liam gives 8 of his stamps to Kevin. Liam now has 12 more stamps than Kevin. How many stamps did Liam start with? Select the correct answer from each drop-down to complete the sentences. An equation that relates the number of stamps originally in Liam's and Kevin's collections is L = [Choose... 0.5, 2, 3] K. After Liam gives 8 stamps to Kevin, the equation becomes L - 8 = [Choose... L + 8, L + 12, K + 20]. By solving the equation, it can be determined that Liam started with [Choose... 44, 48, 56] stamps.",0.5 / L + 8 / 44,2 / L + 12 / 48,3 / K + 20 / 56,,"2, K + 20, 56",,STA,pending,"{""select_count"": 3}"
STA_Q59,grid-in,math,Geometry,,"In the figure above, PQRS is a parallelogram. What is the value of x?",,,,,18,,STA,pending,
STA_Q60,multi-select,math,Algebraic_Expressions,,"Three expressions are given:

-2(2.5n + 4)
5 - n
3(2n + 7)

Which of these are equivalent to the sum of these three expressions?

Select the two correct answers.",5 - n + 6n + 21 - 5n - 8,5 - n + 6n + 21 - 5n + 8,5 - n + 5n + 21 - 5n - 8,18 - n,"A,E",,STA,pending,"{""select_count"": 2, ""choice_5"": ""18"", ""choice_6"": ""34""}"
STA_Q61,mcq,math,Geometry,,"In the pyramid above, each triangular face has the same area, and the base MNPQ is a square that measures 8 centimeters on each side. If the length of RS = 6 centimeters, what is the surface area of the pyramid excluding the base?",48 sq cm,96 sq cm,128 sq cm,160 sq cm,B,,STA,pending,
STA_Q62,mcq,math,Ratios_and_Proportions,,The perimeter of a rectangle is 510 centimeters. The ratio of the length to the width is 3:2. What are the dimensions of this rectangle?,150 cm by 105 cm,153 cm by 102 cm,158 cm by 97 cm,165 cm by 90 cm,B,,STA,pending,
STA_Q63,mcq,math,Inequalities,,Which number line below shows the solution to the inequality -4 < x/2 < 2?,"Number line with open circles at -2 and 2, shaded between them","Number line with open circles at -4 and 1, shaded between them","Number line with open circle at -8, shaded to the right toward 10","Number line with open circles at -8 and 4, shaded between them",D,,STA,pending,
STA_Q64,grid-in,math,Algebra_and_Equations,,"The sum of two consecutive integers is −15. If 1 is added to the smaller integer and 2 is subtracted from the larger integer, what is the product of the two resulting integers?

Enter your answer in the space.",,,,,63,,STA,pending,
STA_Q65,mcq,math,Probability,,A box of colored pencils contains exactly 6 red pencils. The probability of choosing a red pencil from the box is 2/7. How many of the pencils in the box are not red?,5,15,21,30,B,,STA,pending,
STA_Q66,mcq,math,Geometry,,What is the area of the shaded region in the graph above?,0.25 square unit,0.5 square unit,1 square unit,1.5 square units,B,,STA,pending,
STA_Q67,grid-in,math,Arithmetic,,"Consider this expression:
|(-8) - (-3) + 6| - |6 - 11|
Create an equivalent expression.
Move the correct answer to each box. Not all answers will be used.

Answer choices: 1, 17, -5, -8, 11

|[ ]| - |[ ]|",1,17,-5,-8,"1,-5",,STA,pending,
STA_Q68,mcq,math,Algebra_and_Equations,,"Mrs. Cranston bought five bottles of water for $0.90 each and 8 pounds of meat. She paid a total of $26.90 for these items, not including tax. What was the price per pound of the meat?",$2.80,$3.25,$14.40,$22.40,A,,STA,pending,
STA_Q69,mcq,math,Probability,,"In a sample of 10 cards, 4 are red and 6 are blue. If 2 cards are selected at random from the sample, one at a time without replacement, what is the probability that both cards are not blue?",2/15,4/25,3/10,1/3,A,,STA,pending,
STA_Q70,mcq,math,Ratios_and_Proportions,,"1 sind = 4 lorgs
2 plunks = 5 dalts
5 sinds = 2 harps
1 plunk = 3 harps

A nation has five types of coins: sinds, dalts, lorgs, harps, and plunks. The relationship between the coins is shown above. Which coin is most valuable?",sind,dalt,harp,plunk,D,,STA,pending,
STA_Q71,mcq,math,Ratios_and_Proportions,,"The faculty of a certain four-year college consists of 179 teachers. There are 663 first-year students. The student-to-faculty ratio for the entire college is 15 to 1. What is the total number of second-, third-, and fourth-year students?","1,989","2,022","2,652","2,685",B,,STA,pending,
STA_Q72,mcq,math,Percentage,,How many more people in Center City walk to work than ride their bicycle to work?,"2,500","2,700","2,800","3,000",B,,STA,pending,
